10
[1373,1387,2325,1938,1605,1328,2273,2148,1580,1497,1838,1476,1342,2491,2203,1564,1204,1425,2457,1940,1240,2130,1581,2451,2138,1900,2233,1925,2032,1309,1253,1330,1847,2165,1410,1314]
[2380,2334,1486,1368,1855,2062,1938,1398,1305,2242,1680,1694,1836,2431,2259,2279,1646,2354,1908,2215,1477,2039,1413,1303,1489,1518,1776,1308,2445,1481,1370,1866,2313,1807,1915,1902]
[1432,1528,1684,1232,1707,1704,2325,1489,1485,1819,1641,1541,2182,1815,1720,1611,1788,2187,1264,1339,1659,1970,2012,1977,1934,1952,2389,1690,1466,1573,1368,2147,1591,2003,1874,2260]
[2174,1481,2023,2004,2208,1568,2319,2249,2439,2305,1693,2238,1781,2276,1680,1249,1974,1332,1303,2299,1298,1385,2239,1309,1322,2389,1281,1891,2052,1822,2245,1504,1558,1489,1968,2224]
[1448,1940,1847,1838,1905,1526,2337,1503,1688,2060,1946,1968,1685,2129,1372,1376,2339,1506,2055,1459,1932,2179,1531,1948,2456,1484,1292,1419,1207,1278,1544,1238,1299,1723,1300,2319]
[2269,2280,1555,1396,1484,2455,2164,2477,2153,1818,1311,1332,2240,1892,2003,1961,1822,2144,2435,1316,2145,1862,1350,2288,2188,2396,2326,1957,2389,1206,2302,2487,1730,1843,2480,1764]
[1507,1365,1650,1756,1644,1889,1434,2459,1727,1672,1421,1610,1377,1948,1344,1986,2468,1291,2216,1729,2224,1618,2089,2111,1785,2258,1700,1883,2207,1728,1870,2088,1504,2409,2094,2359]
[2187,1276,1897,2227,2390,1852,1871,1486,2258,1378,2475,1425,2154,1858,1688,1509,1332,1646,2207,2078,2027,1798,2451,1924,1594,1698,1822,1401,1341,1901,1607,1988,1414,2454,2383,2492]
[1927,2019,2015,1340,2241,2104,1235,1975,1630,2091,2315,2195,1319,1948,1958,2420,2181,2304,2414,1514,1992,1347,1932,2222,1283,1526,1701,1566,1572,1439,2257,1765,1234,1236,1802,1913]
[2196,1843,1517,1855,1577,2231,2440,1222,1826,1596,2090,1319,1937,1563,2026,2320,1698,1271,1254,1240,2070,1225,1228,2020,2325,1356,1201,2408,2149,2119,2499,2014,1712,1920,1679,2324]
